Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
4,6:02,1,10,DEN 25,28,31,Russell Wilson pass incomplete short right intended for Andrew Beck,0.61,0.06
4,5:55,2,10,DEN 25,28,31,"Latavius Murray aborted snap, recovered by Jerry Jeudy at DEN-10",0.06,-3.18
4,5:14,3,25,DEN 10,28,31,Russell Wilson pass complete deep middle to Jerry Jeudy for 19 yards (tackle by Amen Ogbongbemiga),-3.18,-1.44
4,4:29,4,6,DEN 29,28,31,"Corliss Waitman punts 59 yards, returned by DeAndre Carter for 28 yards (tackle by Jalen Virgil)",-1.44,-1.6
4,4:16,1,10,LAC 40,28,31,Chase Daniel pass incomplete deep left intended for DeAndre Carter,1.6,1.05
4,4:10,2,10,LAC 40,28,31,"Penalty on Donald Parham: False Start, 5 yards (accepted) (no play)",1.05,0.38
4,4:10,2,15,LAC 35,28,31,Chase Daniel pass complete short right to Larry Rountree for 1 yard (tackle by Eyioma Uwazurike),0.38,-0.16
4,3:31,3,14,LAC 36,28,31,"Chase Daniel pass incomplete intended for Joshua Kelley DEN challenged the pass completion ruling, and the play was upheld.",-0.16,-0.98
4,3:27,4,14,LAC 36,28,31,JK Scott punts 60 yards downed by Amen Ogbongbemiga,-0.98,0.38
4,3:14,1,10,DEN 4,28,31,Latavius Murray up the middle for 21 yards (tackle by Raheem Layne),-0.38,0.61
4,3:04,,,,,,Timeout #1 by Los Angeles Chargers,,
4,3:04,1,10,DEN 25,28,31,Jerry Jeudy right end for 12 yards (tackle by Asante Samuel),0.61,1.4
4,2:59,1,10,DEN 37,28,31,Latavius Murray right guard for 9 yards (tackle by Chris Rumph),1.4,2.07
4,2:15,2,1,DEN 46,28,31,Latavius Murray left tackle for no gain (tackle by Chris Rumph and Alohi Gilman),2.07,1.36
4,2:00,3,1,DEN 46,28,31,Russell Wilson up the middle for 1 yard (tackle by Derrek Tuszka and Amen Ogbongbemiga),1.36,2.06
4,1:17,1,10,DEN 47,28,31,Russell Wilson left end for 1 yard (tackle by Ja'Sir Taylor),2.06,1.52
4,0:34,2,10,DEN 47,28,31,Latavius Murray right tackle for 2 yards (tackle by Amen Ogbongbemiga and Derrek Tuszka),1.52,1.09
