Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
3,1:31,1,10,LAC 21,13,3,Zack Moss right tackle for 2 yards (tackle by Kenneth Murray and Khalil Mack),4.17,3.9
3,0:55,2,8,LAC 19,13,3,Nick Foles pass incomplete short left intended for Parris Campbell,3.9,3.18
3,0:48,3,8,LAC 19,13,3,Nick Foles pass complete short middle to Michael Pittman for 7 yards (tackle by Alohi Gilman),3.18,2.78
4,15:00,4,1,LAC 12,13,3,Nick Foles up the middle for no gain (tackle by Drue Tranquill and Alohi Gilman),2.78,0.35
4,14:53,1,10,LAC 12,13,3,Joshua Kelley up the middle for 11 yards (tackle by E.J. Speed),-0.35,0.48
4,14:23,1,10,LAC 23,13,3,Joshua Kelley left tackle for 5 yards (tackle by E.J. Speed and Grover Stewart),0.48,0.61
4,13:41,2,5,LAC 28,13,3,Justin Herbert pass incomplete deep left intended for Donald Parham,0.61,-0.1
4,13:33,3,5,LAC 28,13,3,Justin Herbert pass complete short middle to Mike Williams for 26 yards (tackle by Rodney McLeod),-0.1,2.52
4,12:48,1,10,IND 46,13,3,"Penalty on Corey Linsley: False Start, 5 yards (accepted) (no play)",2.52,2.19
4,12:48,1,15,LAC 49,13,3,Austin Ekeler left tackle for 2 yards (tackle by Yannick Ngakoue),2.19,1.57
4,12:12,2,13,IND 49,13,3,Justin Herbert pass complete short middle to Mike Williams for 16 yards (tackle by Stephon Gilmore),1.57,3.38
4,11:30,1,10,IND 33,13,3,Joshua Kelley right tackle for 3 yards (tackle by Zaire Franklin and Kwity Paye),3.38,3.24
4,10:49,2,7,IND 30,13,3,Austin Ekeler left tackle for 6 yards (tackle by E.J. Speed and Rodney McLeod),3.24,3.34
4,10:13,3,1,IND 24,13,3,Austin Ekeler right guard for 1 yard (tackle by Kwity Paye and Grover Stewart),3.34,4.04
4,9:32,1,10,IND 23,13,3,Austin Ekeler left tackle for 6 yards (tackle by E.J. Speed and Grover Stewart),4.04,4.38
4,8:54,2,4,IND 17,13,3,Austin Ekeler up the middle for 16 yards (tackle by Rodney Thomas),4.38,6.97
4,8:23,1,1,IND 1,19,3,"Austin Ekeler left guard for 1 yard, touchdown",6.97,7
4,8:20,,,IND 15,20,3,Cameron Dicker kicks extra point good,0,0
4,8:20,,,LAC 35,20,3,"Cameron Dicker kicks off 70 yards, returned by Dallis Flowers for 31 yards (tackle by Troy Reeder and Alohi Gilman)",0,0.67
4,8:15,1,10,IND 26,20,3,Nick Foles pass complete short right to Zack Moss for 5 yards (tackle by Kenneth Murray and Alohi Gilman),0.67,0.81
4,7:56,2,5,IND 31,20,3,Nick Foles pass complete short left to Parris Campbell for 12 yards (tackle by Bryce Callahan),0.81,1.8
4,7:33,1,10,IND 43,20,3,Nick Foles pass incomplete short left intended for Michael Pittman (defended by Michael Davis),1.8,1.25
4,7:27,2,10,IND 43,20,3,Nick Foles sacked by Kyle Van Noy for -5 yards,1.25,-0.1
4,6:43,3,15,IND 38,20,3,Nick Foles pass complete short middle to Jelani Woods for 11 yards (tackle by Alohi Gilman),-0.1,-0.13
4,6:11,4,4,IND 49,20,3,Nick Foles pass incomplete short right intended for Michael Pittman (defended by Michael Davis),-0.13,-2.39
